,code,rfm_group,cnt,total_price
0,country_yard,신규 고객,41454,1402571.0299999996
1,country_yard,충성고객,68460,2692679.159999999
2,kids,충성고객,635241,84732702.43000017
3,computers,VIP,1080382,313891182.3800005
4,country_yard,이탈 우려 고객,177706,8510134.969999997
5,apparel,잠재적 고가치 고객,675598,66400048.520000115
6,medicine,,124678,4777243.990000006
7,kids,이탈 우려 고객,1855355,271638381.0999998
8,accessories,이탈 우려 고객,994211,88717672.05000004
9,kids,VIP,557667,86795972.00000013
10,auto,일시적 고객,644863,114810937.35999975
11,country_yard,이탈 고객,14781,1520496.7100000011
12,stationery,이탈 우려 고객,35985,2436860.2999999993
13,computers,,9595824,3342688045.090109
14,,이탈 우려 고객,13125671,2125887863.0000203
15,auto,,2194376,418941897.1400021
16,electronics,이탈 고객,6013929,2448545772.4000187
17,appliances,충성고객,4453140,1110433890.1599965
18,accessories,신규 고객,123930,11543139.789999997
19,,,30610334,5852329139.380226
20,computers,잠재적 고가치 고객,238747,42130129.53000001
21,kids,일시적 고객,963364,148947464.7999999
22,,충성고객,3412760,522736350.4799979
23,sport,이탈 우려 고객,3939118,518980733.6999979
24,accessories,이탈 고객,143112,11805150.209999997
25,appliances,일시적 고객,7647640,2072822928.360021
26,country_yard,잠재적 고가치 고객,31637,704347.8700000005
27,sport,일시적 고객,1796432,248420302.62999916
28,computers,이탈 우려 고객,4114427,1274320595.5699887
29,computers,신규 고객,422406,103396456.49000011
30,stationery,신규 고객,4440,296960.29000000004
31,auto,이탈 고객,286432,45013012.94999998
32,furniture,VIP,1063227,194480399.62999943
33,stationery,,95831,7590168.459999997
34,kids,잠재적 고가치 고객,182090,16093286.629999977
35,furniture,이탈 우려 고객,3699098,684562690.0199996
36,auto,충성고객,247090,42431046.859999985
37,electronics,이탈 우려 고객,13589348,4991367432.990056
38,kids,신규 고객,312218,40571045.93000005
39,appliances,이탈 우려 고객,13089465,3578426648.9701643
40,furniture,잠재적 고가치 고객,398700,35619381.98000005
41,apparel,이탈 우려 고객,8553794,1305540049.6299884
42,electronics,VIP,3466612,1460763884.8000035
43,sport,,8238918,1254049797.3400314
44,apparel,,22100316,4094593898.8999352
45,apparel,이탈 고객,1121080,151950398.96999946
46,furniture,신규 고객,593972,84570298.21000013
47,stationery,VIP,8629,679926.1100000006
48,kids,이탈 고객,269427,38707797.27
49,stationery,이탈 고객,5518,321467.8899999999
50,appliances,,32351058,9869767864.28005
51,accessories,잠재적 고가치 고객,84550,4998385.319999996
52,medicine,VIP,21273,778520.2699999998
53,country_yard,,414439,20875040.179999985
54,sport,신규 고객,563731,65257723.04000011
55,,잠재적 고가치 고객,831118,86706668.82000004
56,apparel,신규 고객,1195544,203894389.38999993
57,electronics,신규 고객,1515844,559005114.5500014
58,sport,이탈 고객,314816,50259232.150000006
59,appliances,신규 고객,2367681,624674784.5799986
60,sport,VIP,1119224,159311251.4099996
61,appliances,잠재적 고가치 고객,857351,153691739.07999945
62,construction,잠재적 고가치 고객,524255,162917721.0099998
63,stationery,일시적 고객,18090,1261489.2900000007
64,construction,이탈 고객,1521080,590324671.2899995
65,construction,VIP,5726526,2542856786.6699986
66,medicine,이탈 고객,7718,333921.6600000001
67,auto,VIP,256316,57240216.76999995
68,apparel,일시적 고객,4315179,698581264.8600048
69,auto,잠재적 고가치 고객,55540,6105851.280000001
70,furniture,,8963899,1978475868.7200553
71,country_yard,VIP,64189,2740720.74
72,accessories,,2547973,287406511.39999557
73,medicine,신규 고객,8104,285149.48
74,kids,,4750959,725174768.4599918
75,furniture,이탈 고객,593100,137420917.10999998
76,appliances,이탈 고객,2398359,584274508.8099965
77,accessories,충성고객,302739,25061923.020000007
78,construction,일시적 고객,8880436,3503519004.7400346
79,computers,일시적 고객,2143622,736751994.6199945
80,electronics,,36278009,14530764832.43934
81,,일시적 고객,8368536,1390482221.1500168
82,electronics,일시적 고객,9431253,3526448080.9000397
83,furniture,일시적 고객,1937907,391585056.4000002
84,electronics,잠재적 고가치 고객,597739,153231594.7399998
85,construction,이탈 우려 고객,19348824,8004090866.600286
86,medicine,충성고객,21631,783110.1200000005
87,auto,신규 고객,106300,18657472.040000007
88,,신규 고객,1421416,243365179.30999967
89,construction,,42938067,18004736470.68169
90,furniture,충성고객,1238722,175400918.86999938
91,sport,충성고객,1145684,136400257.3099999
92,,VIP,2962107,556027569.7500004
93,stationery,잠재적 고가치 고객,2770,123343.50000000001
94,electronics,충성고객,3104304,1026730115.0300008
95,construction,충성고객,4589758,1522901302.969992
96,apparel,VIP,2493742,444115543.1499993
97,appliances,VIP,3925191,1228540344.6999977
98,accessories,일시적 고객,507340,49268984.96999984
99,medicine,일시적 고객,28544,1069971.3799999997
100,,이탈 고객,4439821,726719910.5000088
101,stationery,충성고객,9937,607660.1599999998
102,apparel,충성고객,2627691,394253991.21999836
103,sport,잠재적 고가치 고객,333701,23344743.46000002
104,computers,이탈 고객,882987,373156795.9999996
105,medicine,잠재적 고가치 고객,6778,216492.13
106,accessories,VIP,266208,23727506.780000005
107,construction,신규 고객,2697317,960073000.8499928
108,computers,충성고객,1020927,236444260.28999996
109,medicine,이탈 우려 고객,68563,2438748.35
110,country_yard,일시적 고객,79663,4769573.489999999
111,auto,이탈 우려 고객,1054153,206282675.04
