,event_date,DAU
0,2019-10-01,138532
1,2019-10-02,191269
2,2019-10-03,171202
3,2019-10-04,204000
4,2019-10-05,195812
5,2019-10-06,194376
6,2019-10-07,189661
7,2019-10-08,216037
8,2019-10-09,216194
9,2019-10-10,203411
10,2019-10-11,233042
11,2019-10-12,209497
12,2019-10-13,225661
13,2019-10-14,209438
14,2019-10-15,227812
15,2019-10-16,232011
16,2019-10-17,211813
17,2019-10-18,224919
18,2019-10-19,220472
19,2019-10-20,230312
20,2019-10-21,225082
21,2019-10-22,224479
22,2019-10-23,220394
23,2019-10-24,208586
24,2019-10-25,224576
25,2019-10-26,207620
26,2019-10-27,200126
27,2019-10-28,197752
28,2019-10-29,194744
29,2019-10-30,192939
30,2019-10-31,197321
31,2019-11-01,217141
32,2019-11-02,229279
33,2019-11-03,244636
34,2019-11-04,262783
35,2019-11-05,270277
36,2019-11-06,256212
37,2019-11-07,282676
38,2019-11-08,281517
39,2019-11-09,271257
40,2019-11-10,274830
41,2019-11-11,291596
42,2019-11-12,288691
43,2019-11-13,285032
44,2019-11-14,305355
45,2019-11-15,360900
46,2019-11-16,476465
47,2019-11-17,499430
48,2019-11-18,341859
49,2019-11-19,297422
50,2019-11-20,291765
51,2019-11-21,296069
52,2019-11-22,253994
53,2019-11-23,248794
54,2019-11-24,243357
55,2019-11-25,253317
56,2019-11-26,260737
57,2019-11-27,254825
58,2019-11-28,249214
59,2019-11-29,280558
60,2019-11-30,263591
61,2019-12-01,257313
62,2019-12-02,253431
63,2019-12-03,257693
64,2019-12-04,240030
65,2019-12-05,247785
66,2019-12-06,257490
67,2019-12-07,260677
68,2019-12-08,262037
69,2019-12-09,272377
70,2019-12-10,279222
71,2019-12-11,277385
72,2019-12-12,295984
73,2019-12-13,278767
74,2019-12-14,283943
75,2019-12-15,304110
76,2019-12-16,374241
77,2019-12-17,389264
78,2019-12-18,407690
79,2019-12-19,387632
80,2019-12-20,366978
81,2019-12-21,335173
82,2019-12-22,370960
83,2019-12-23,393202
84,2019-12-24,388279
85,2019-12-25,385204
86,2019-12-26,385755
87,2019-12-27,361682
88,2019-12-28,289990
89,2019-12-29,353638
90,2019-12-30,433417
91,2019-12-31,358880
92,2020-01-01,266770
93,2020-01-02,317333
94,2020-01-03,306606
95,2020-01-04,300737
96,2020-01-05,313030
97,2020-01-06,307818
98,2020-01-07,289284
99,2020-01-08,286982
100,2020-01-09,273081
101,2020-01-10,265326
102,2020-01-11,280128
103,2020-01-12,294909
104,2020-01-13,286162
105,2020-01-14,268883
106,2020-01-15,268356
107,2020-01-16,291343
108,2020-01-17,292022
109,2020-01-18,337779
110,2020-01-19,371178
111,2020-01-20,336719
112,2020-01-21,317277
113,2020-01-22,288308
114,2020-01-23,289264
115,2020-01-24,262145
116,2020-01-25,256292
117,2020-01-26,275478
118,2020-01-27,258840
119,2020-01-28,266752
120,2020-01-29,271409
121,2020-01-30,280303
122,2020-01-31,332955
123,2020-02-01,362777
124,2020-02-02,319395
125,2020-02-03,272629
126,2020-02-04,249267
127,2020-02-05,247807
128,2020-02-06,260526
129,2020-02-07,293077
130,2020-02-08,260084
131,2020-02-09,272094
132,2020-02-10,282277
133,2020-02-11,268161
134,2020-02-12,340108
135,2020-02-13,366780
136,2020-02-14,352227
137,2020-02-15,310429
138,2020-02-16,344331
139,2020-02-17,338740
140,2020-02-18,352278
141,2020-02-19,350246
142,2020-02-20,351482
143,2020-02-21,318416
144,2020-02-22,307215
145,2020-02-23,312715
146,2020-02-24,326480
147,2020-02-25,303808
148,2020-02-26,316288
149,2020-02-27,132102
150,2020-02-28,137412
151,2020-02-29,237371
152,2020-03-01,267288
153,2020-03-02,357934
154,2020-03-03,395660
155,2020-03-04,389997
156,2020-03-05,408356
157,2020-03-06,386502
158,2020-03-07,385704
159,2020-03-08,349341
160,2020-03-09,372100
161,2020-03-10,391711
162,2020-03-11,372921
163,2020-03-12,327090
164,2020-03-13,262529
165,2020-03-14,217355
166,2020-03-15,224439
167,2020-03-16,218829
168,2020-03-17,215663
169,2020-03-18,177506
170,2020-03-19,194831
171,2020-03-20,212989
172,2020-03-21,216840
173,2020-03-22,199729
174,2020-03-23,205360
175,2020-03-24,210694
176,2020-03-25,208705
177,2020-03-26,208940
178,2020-03-27,202598
179,2020-03-28,198601
180,2020-03-29,194923
181,2020-03-30,183551
182,2020-03-31,191394
183,2020-04-01,210794
184,2020-04-02,216649
185,2020-04-03,225032
186,2020-04-04,229892
187,2020-04-05,209110
188,2020-04-06,219705
189,2020-04-07,229069
190,2020-04-08,237699
191,2020-04-09,260317
192,2020-04-10,275882
193,2020-04-11,281135
194,2020-04-12,290202
195,2020-04-13,315365
196,2020-04-14,284819
197,2020-04-15,339412
198,2020-04-16,375036
199,2020-04-17,371333
200,2020-04-18,342507
201,2020-04-19,328623
202,2020-04-20,328320
203,2020-04-21,345644
204,2020-04-22,356468
205,2020-04-23,355496
206,2020-04-24,374459
207,2020-04-25,370122
208,2020-04-26,380248
209,2020-04-27,376953
210,2020-04-28,364112
211,2020-04-29,374059
212,2020-04-30,354677
213,2020-05-01,125161
