hour,event_type,CNT
0,view,25523901
0,cart,1077686
0,purchase,356016
1,view,26158951
1,cart,1012470
1,purchase,329850
2,view,24722167
2,cart,896026
2,purchase,297580
3,view,19931709
3,cart,730084
3,purchase,236403
4,view,13746992
4,cart,493563
4,purchase,171065
5,view,8405729
5,cart,302774
5,purchase,106925
6,view,4961446
6,cart,181185
6,purchase,66644
7,view,3258251
7,cart,116600
7,purchase,43809
8,view,2486292
8,cart,83078
8,purchase,30495
9,view,2781396
9,cart,91571
9,purchase,29211
10,view,4455435
10,cart,157259
10,purchase,44185
11,view,8276748
11,cart,326789
11,purchase,101432
12,view,12521161
12,cart,628269
12,purchase,222894
13,view,16480963
13,cart,913914
13,purchase,340168
14,view,18998553
14,cart,1111438
14,purchase,413810
15,view,20529602
15,cart,1235631
15,purchase,456147
16,view,21185085
16,cart,1294471
16,purchase,481218
17,view,21931716
17,cart,1334316
17,purchase,503723
18,view,21863921
18,cart,1331513
18,purchase,506631
19,view,21426906
19,cart,1281620
19,purchase,486980
20,view,20671869
20,cart,1216434
20,purchase,448476
21,view,20311355
21,cart,1134870
21,purchase,412179
22,view,21567261
22,cart,1084707
22,purchase,390306
23,view,23549440
23,cart,1077795
23,purchase,372677
