0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1.0,0.3394,0.3043,0.2656,0.2899,0.2903,0.3108,0.2321,0.2321,0.2229,0.249,0.2496,0.2248,0.1916,0.1809,0.1879,0.1729,0.1884,0.1771,0.1835,0.1593,0.1578,0.1765,0.1358,0.123,0.1178,0.1194,0.1337,0.1426,0.1394,0.042
1.0,0.2488,0.208,0.2233,0.233,0.2508,0.1829,0.1804,0.1742,0.196,0.2033,0.1809,0.1515,0.1414,0.1485,0.1346,0.1473,0.1366,0.1452,0.1271,0.1217,0.1424,0.1072,0.094,0.0905,0.0928,0.1073,0.1164,0.1135,0.0383,
1.0,0.1964,0.1988,0.2063,0.2241,0.1572,0.1552,0.1505,0.1701,0.1799,0.1583,0.1306,0.1215,0.1283,0.1161,0.1259,0.1178,0.1256,0.1104,0.1047,0.123,0.0906,0.0789,0.0764,0.0791,0.092,0.1015,0.099,0.0324,,
1.0,0.1813,0.1794,0.1866,0.1374,0.1298,0.1246,0.1424,0.1539,0.1363,0.1123,0.1025,0.1087,0.097,0.1038,0.0971,0.1067,0.0957,0.0887,0.1068,0.0749,0.0632,0.0614,0.0641,0.0761,0.0847,0.0837,0.0277,,,
1.0,0.1967,0.1934,0.1379,0.132,0.1264,0.1442,0.1494,0.1324,0.1108,0.1001,0.106,0.0952,0.1016,0.0952,0.1034,0.0896,0.0876,0.1011,0.0729,0.0632,0.0616,0.0645,0.0757,0.0833,0.0811,0.0233,,,,
1.0,0.2212,0.148,0.1369,0.1314,0.1435,0.1526,0.1319,0.1098,0.101,0.1052,0.0939,0.1007,0.0961,0.1041,0.0912,0.0873,0.1025,0.0728,0.0616,0.0604,0.0632,0.0741,0.0822,0.0803,0.025,,,,,
1.0,0.1734,0.1523,0.1391,0.1602,0.1576,0.1353,0.1087,0.1034,0.1093,0.0999,0.1065,0.1011,0.1089,0.0909,0.0956,0.1033,0.0781,0.0657,0.0636,0.0657,0.0784,0.0853,0.0813,0.0209,,,,,,
1.0,0.1388,0.1224,0.127,0.1309,0.1174,0.0961,0.0864,0.0914,0.0801,0.0792,0.0757,0.0848,0.0768,0.07,0.0828,0.0556,0.0433,0.0415,0.044,0.0533,0.0588,0.0593,0.0188,,,,,,,
1.0,0.1516,0.145,0.1409,0.1236,0.1006,0.0912,0.0925,0.0827,0.0845,0.0811,0.0874,0.078,0.0741,0.0848,0.0601,0.0501,0.0486,0.0502,0.0595,0.0647,0.0638,0.0189,,,,,,,,
1.0,0.1653,0.1498,0.1249,0.1044,0.0924,0.0914,0.0816,0.0839,0.0822,0.0859,0.0757,0.0727,0.0825,0.0584,0.0491,0.0486,0.0508,0.0593,0.0649,0.0629,0.0192,,,,,,,,,
1.0,0.1559,0.1262,0.1016,0.0893,0.0886,0.0751,0.0735,0.0722,0.0798,0.0698,0.0664,0.0761,0.0493,0.0393,0.0379,0.0407,0.0495,0.0542,0.0531,0.0155,,,,,,,,,,
1.0,0.149,0.1118,0.0938,0.0956,0.0792,0.0773,0.0727,0.0817,0.0717,0.0665,0.0781,0.0505,0.0407,0.0394,0.0413,0.0506,0.0564,0.0557,0.0164,,,,,,,,,,,
1.0,0.1234,0.0959,0.0935,0.077,0.0732,0.067,0.0773,0.0715,0.0642,0.0768,0.049,0.0355,0.034,0.0368,0.0455,0.052,0.0526,0.0158,,,,,,,,,,,,
1.0,0.1146,0.1013,0.0808,0.0749,0.0655,0.0736,0.0669,0.0606,0.0729,0.0461,0.0337,0.0327,0.0352,0.043,0.048,0.0491,0.0155,,,,,,,,,,,,,
1.0,0.1288,0.0965,0.087,0.0806,0.0833,0.0727,0.0686,0.0775,0.0498,0.0399,0.0382,0.0409,0.0493,0.0537,0.0528,0.0152,,,,,,,,,,,,,,
1.0,0.1187,0.097,0.0884,0.0935,0.0782,0.0734,0.0816,0.0505,0.0391,0.0375,0.0403,0.0491,0.0545,0.054,0.0143,,,,,,,,,,,,,,,
1.0,0.123,0.0981,0.0986,0.0862,0.075,0.0845,0.0567,0.0423,0.0402,0.0421,0.0502,0.056,0.0551,0.0168,,,,,,,,,,,,,,,,
1.0,0.1188,0.1113,0.0932,0.0833,0.0886,0.0561,0.0432,0.0412,0.0434,0.0528,0.0574,0.0565,0.0148,,,,,,,,,,,,,,,,,
1.0,0.1432,0.1094,0.0974,0.103,0.067,0.0534,0.0505,0.0522,0.0613,0.0658,0.0632,0.0185,,,,,,,,,,,,,,,,,,
1.0,0.1262,0.1049,0.1074,0.0631,0.0468,0.0429,0.0458,0.0548,0.0596,0.0581,0.0155,,,,,,,,,,,,,,,,,,,
1.0,0.1209,0.1209,0.0686,0.0474,0.0433,0.0461,0.0549,0.0623,0.0612,0.018,,,,,,,,,,,,,,,,,,,,
1.0,0.1428,0.081,0.0519,0.0473,0.0481,0.0568,0.0615,0.0601,0.0198,,,,,,,,,,,,,,,,,,,,,
1.0,0.0934,0.0588,0.0519,0.0533,0.0625,0.0677,0.0669,0.0192,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0733,0.0598,0.0559,0.0637,0.0679,0.0663,0.0221,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.1075,0.0902,0.0938,0.0932,0.0861,0.0251,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.1156,0.1112,0.1084,0.0968,0.0293,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.1371,0.1229,0.1071,0.0279,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.1514,0.1243,0.0303,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.1545,0.0407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
