0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1.0,0.1902,0.1532,0.1228,0.1175,0.1043,0.1349,0.083,0.0856,0.0785,0.1006,0.1021,0.0825,0.0573,0.0605,0.0637,0.0557,0.0589,0.0557,0.0586,0.0473,0.0568,0.0584,0.0447,0.0348,0.0322,0.0273,0.0269,0.0243,0.0263,0.0055
1.0,0.1314,0.0977,0.0924,0.0838,0.1154,0.0693,0.07,0.0628,0.0836,0.089,0.0718,0.0467,0.0487,0.0512,0.0456,0.0487,0.0454,0.0506,0.0396,0.0473,0.053,0.0403,0.0294,0.0278,0.0253,0.0265,0.0253,0.0268,0.0071,
1.0,0.1079,0.0915,0.0813,0.1128,0.0665,0.0647,0.0609,0.0763,0.0852,0.0697,0.0435,0.0462,0.0484,0.0443,0.046,0.0433,0.0488,0.0371,0.0444,0.0495,0.0385,0.028,0.0257,0.024,0.0243,0.0231,0.0234,0.0077,,
1.0,0.0947,0.0802,0.1081,0.0624,0.0603,0.0555,0.0737,0.0791,0.065,0.0403,0.044,0.046,0.0403,0.0433,0.0414,0.0447,0.0348,0.041,0.0469,0.0361,0.0267,0.0248,0.0231,0.0235,0.0221,0.0239,0.0074,,,
1.0,0.0949,0.1107,0.0649,0.0644,0.0583,0.072,0.0787,0.0639,0.0415,0.0427,0.045,0.0393,0.0423,0.0408,0.0437,0.0345,0.0405,0.045,0.0345,0.0263,0.0234,0.0233,0.0241,0.0221,0.0237,0.0067,,,,
1.0,0.1244,0.0709,0.0669,0.061,0.0724,0.0792,0.0644,0.0414,0.045,0.0461,0.0422,0.0432,0.0414,0.0468,0.0354,0.0398,0.0464,0.0348,0.0258,0.0244,0.0232,0.0233,0.0233,0.023,0.0065,,,,,
1.0,0.0621,0.0556,0.0468,0.0763,0.071,0.0514,0.0326,0.035,0.0372,0.036,0.0381,0.0393,0.0381,0.0278,0.0434,0.0419,0.0293,0.0226,0.0208,0.02,0.0238,0.021,0.0215,0.003,,,,,,
1.0,0.0883,0.0691,0.0738,0.0852,0.0669,0.0417,0.0418,0.0441,0.0392,0.0397,0.0373,0.044,0.0344,0.0368,0.0445,0.0355,0.0256,0.0233,0.0224,0.0225,0.0219,0.0219,0.0086,,,,,,,
1.0,0.0941,0.0946,0.0915,0.0713,0.0461,0.0471,0.0481,0.043,0.0439,0.0402,0.0436,0.0338,0.0416,0.0443,0.0345,0.0262,0.0234,0.0225,0.0241,0.0226,0.0237,0.0063,,,,,,,,
1.0,0.1139,0.1038,0.0774,0.0512,0.0488,0.0512,0.0447,0.0452,0.0439,0.0467,0.0382,0.0408,0.0456,0.0365,0.0267,0.0256,0.0232,0.0251,0.0223,0.0239,0.0078,,,,,,,,,
1.0,0.1233,0.0826,0.0535,0.0535,0.054,0.0448,0.0466,0.0438,0.0466,0.0375,0.0426,0.0472,0.0356,0.0273,0.0252,0.0238,0.0247,0.0223,0.0237,0.0064,,,,,,,,,,
1.0,0.1,0.0536,0.0496,0.0521,0.0438,0.0443,0.0423,0.0504,0.0368,0.0416,0.0515,0.038,0.0268,0.0243,0.0226,0.0247,0.0248,0.0261,0.008,,,,,,,,,,,
1.0,0.0627,0.0557,0.0535,0.0457,0.044,0.0423,0.0466,0.0349,0.0437,0.0497,0.0357,0.0263,0.0248,0.0225,0.0236,0.0224,0.0246,0.0072,,,,,,,,,,,,
1.0,0.0789,0.0655,0.0529,0.0513,0.0443,0.0493,0.0382,0.0401,0.0516,0.0389,0.0279,0.0256,0.024,0.0238,0.0247,0.0243,0.0101,,,,,,,,,,,,,
1.0,0.0972,0.0713,0.0638,0.0566,0.0579,0.0441,0.049,0.052,0.0418,0.0309,0.0264,0.0252,0.0267,0.0243,0.0248,0.0074,,,,,,,,,,,,,,
1.0,0.0893,0.075,0.0658,0.0646,0.0508,0.0541,0.0558,0.0431,0.032,0.0285,0.0262,0.0284,0.0236,0.0251,0.0058,,,,,,,,,,,,,,,
1.0,0.0966,0.0731,0.0711,0.0559,0.0571,0.0594,0.0437,0.0328,0.0292,0.0268,0.0286,0.0268,0.0257,0.0074,,,,,,,,,,,,,,,,
1.0,0.0979,0.0847,0.0612,0.0654,0.064,0.0479,0.0352,0.0323,0.0291,0.0318,0.0272,0.0284,0.0074,,,,,,,,,,,,,,,,,
1.0,0.1041,0.069,0.0685,0.0695,0.0511,0.0368,0.0327,0.031,0.0317,0.0285,0.029,0.009,,,,,,,,,,,,,,,,,,
1.0,0.0821,0.0824,0.0773,0.0542,0.0379,0.0314,0.0288,0.0311,0.0287,0.0297,0.0083,,,,,,,,,,,,,,,,,,,
1.0,0.0973,0.0891,0.0625,0.0438,0.0373,0.0326,0.0347,0.0312,0.0301,0.0095,,,,,,,,,,,,,,,,,,,,
1.0,0.111,0.0723,0.05,0.042,0.0353,0.0373,0.0316,0.0332,0.0101,,,,,,,,,,,,,,,,,,,,,
1.0,0.0835,0.0478,0.0389,0.0354,0.0355,0.0327,0.0347,0.0096,,,,,,,,,,,,,,,,,,,,,,
1.0,0.065,0.0492,0.0402,0.0402,0.0367,0.0358,0.0112,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0824,0.0596,0.0546,0.046,0.0443,0.0136,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0814,0.0664,0.0533,0.0497,0.0143,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0896,0.0637,0.0567,0.0132,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.083,0.0683,0.0152,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0928,0.0207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
